City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Shingu,JP,87.67,scattered clouds,33.7333,135.9833,Shingu UI Hotel
170,Bengkulu,ID,80.44,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
171,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
176,Scottsboro,US,89.69,scattered clouds,34.6723,-86.0341,Budget Inn
178,Hithadhoo,MV,79.7,light rain,-0.6,73.0833,Scoop Guest House
180,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
181,,,,,,,
182,Sabha,LY,78.03,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
184,,,,,,,
185,Pontes E Lacerda,BR,69.66,clear sky,-15.2261,-59.3353,Hotel Bressan
189,Chake Chake,TZ,72.97,few clouds,-5.2459,39.7666,Hotel Archipelago
190,,,,,,,
192,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
194,Tumpat,MY,80.58,few clouds,6.1978,102.171,Baan Tanyong B&B
195,,,,,,,
198,Tayu,ID,81.84,clear sky,-6.5397,111.0518,Toko pakaian bu is Tayu
199,Farkhor,TJ,88.45,clear sky,37.4922,69.4036,Khonai Abdulkhayrov
203,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Euronova Freezer
206,Hobyo,SO,74.7,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
208,Ibra,OM,79.88,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
210,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
212,Palu,ID,88.86,few clouds,-0.8917,119.8707,Hotel Santika Palu
215,Mahibadhoo,MV,81.9,overcast clouds,3.7833,72.9667,Omadhoo Inn
216,Tavrichanka,RU,71.46,overcast clouds,43.3378,131.8639,Country House Tavrichanka
218,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
224,Sur,OM,83.39,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
226,Pangkalanbuun,ID,84.06,clear sky,-2.6833,111.6167,Grand Kecubung Hotel
227,Kavieng,PG,82.9,light rain,-2.5744,150.7967,Nusa Island Retreat
228,Faanui,PF,78.1,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
230,Plaster Rock,CA,70.32,scattered clouds,46.9065,-67.39,Settler's Inn and Motel
233,Samarai,PG,82.89,clear sky,-10.6167,150.6667,Nuli Sapi
234,Passo De Camaragibe,BR,76.55,light rain,-9.2368,-35.4901,Chácara vovó candinha
236,Sept-Iles,CA,71.6,few clouds,50.2001,-66.3821,Comfort Inn
237,Sumenep,ID,82.58,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
238,Buriti Bravo,BR,70.48,clear sky,-5.8372,-43.8336,Hotel Brasil
239,Vanimo,PG,85.48,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
241,Vao,NC,74.1,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
243,Amahai,ID,78.67,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
244,San Quintin,MX,71.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
246,Pio Xii,BR,72.66,broken clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
247,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
249,College,US,69.75,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
250,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
252,Guerrero Negro,MX,73.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
253,Axim,GH,72.64,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
255,Maracacume,BR,72.16,few clouds,-2.0428,-45.9592,Hotel Ramos
256,Awbari,LY,77.99,clear sky,26.5921,12.7805,فندق أوباري
257,Panacan,PH,84.85,overcast clouds,9.2463,118.4082,Mom's Place Resort
258,Olinda,BR,73.13,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
259,,,,,,,
260,Chabahar,IR,82.49,overcast clouds,25.2919,60.643,هتل گدروشیا
262,Tottori,JP,78.87,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
263,Sinnamary,GF,77.31,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
264,San Policarpo,PH,84.4,light rain,12.1791,125.5072,Agapita M. Nicart
265,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
268,Kihei,US,83.97,scattered clouds,20.785,-156.4656,Maui Sunset
269,Hasaki,JP,86.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
271,Sandpoint,US,88.43,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
272,Santa Barbara,US,82.35,clear sky,34.7333,-120.0343,Upper Ballard Campground
274,Aksu,CN,76.71,clear sky,41.1231,80.2644,Pudong Holiday Hotel
277,Honiara,SB,88.14,overcast clouds,-9.4333,159.95,Heritage Park Hotel
279,,,,,,,
284,San Felipe,VE,71.47,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
287,Goderich,CA,74.91,clear sky,43.7501,-81.7165,Harmony Inn
290,,,,,,,
293,,,,,,,
294,Ixtapa,MX,88.83,broken clouds,20.7,-105.2,hotel la terminal
295,Kimbe,PG,87.37,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
299,Nakhon Phanom,TH,80.28,light rain,17.3333,104.4167,ป่ายางรีสอร์ท
302,Sohag,EG,82.69,clear sky,26.557,31.6948,Civil Registry - Sohag 1
303,,,,,,,
305,Aguimes,ES,74.03,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
311,Prado,BR,69.37,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
313,Surt,LY,77.74,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
316,Tandalti,SD,71.92,light rain,13.0167,31.8667,منزل : الهادي محمد مساعد
317,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
319,Lompoc,US,85.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
321,San-Pedro,CI,74.41,overcast clouds,4.7485,-6.6363,Hotel Maria
327,Akyab,MM,83.5,overcast clouds,20.15,92.9,Hotel Memory
329,Prince George,CA,79.25,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
330,,,,,,,
332,Hami,CN,72.25,few clouds,42.8,93.45,Laoyutang Resort
334,Lorengau,PG,84.56,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
336,Cabadiangan,PH,85.87,overcast clouds,9.7531,122.4739,Kipot
337,Nouadhibou,MR,69.78,few clouds,20.931,-17.0347,El Medina
340,Paka,MY,81.28,heavy intensity rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
342,Namatanai,PG,84.22,light rain,-3.6667,152.4333,Seagulls Inn Namatani
346,Toamasina,MG,71.6,broken clouds,-18.1667,49.3833,Hotel H1
348,Piacabucu,BR,73.67,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
349,Marsh Harbour,BS,82.42,clear sky,26.5412,-77.0636,Abaco Beach Resort
352,Maumere,ID,81.45,broken clouds,-8.6199,122.2111,Sylvia Hotel
353,Qeshm,IR,89.47,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
354,Tongliao,CN,73.63,overcast clouds,43.6125,122.2653,Meirujia Hotel
356,Gazli,UZ,89.44,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
358,Am Timan,TD,72.46,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
359,Cockburn Town,TC,82.26,clear sky,21.4612,-71.1419,Osprey Beach Hotel
360,Biltine,TD,81.79,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
361,Panalingaan,PH,86.11,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
363,Nicoya,CR,75.15,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
364,Jalu,LY,72.46,clear sky,29.0331,21.5482,صاحبة الفخامة
365,Aquiraz,BR,79.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
367,Port Moresby,PG,81.88,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
370,Kutum,SD,72.82,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
371,Mareeba,AU,76.48,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
373,Bellavista,PE,74.48,overcast clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
374,,,,,,,
375,Jussara,BR,71.56,scattered clouds,-23.6214,-52.4694,Big hotel e Restaurante e hambugueria
377,,,,,,,
378,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
380,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
382,Moengo,SR,72.86,few clouds,5.6167,-54.4,Masanga
386,Awjilah,LY,72.27,clear sky,29.1081,21.2869,المنزل
391,Williston,US,77.74,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
392,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
394,Port-Gentil,GA,73.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
396,Caborca,MX,90.25,broken clouds,30.5838,-111.101,Hotel Los Lagos
398,Delicias,ES,74.88,clear sky,41.6493,-0.9076,INNSiDE Zaragoza
401,,,,,,,
404,Ranong,TH,76.93,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
407,Phan Thiet,VN,79.75,overcast clouds,10.9333,108.1,Hotel Saigon-PT
410,Conakry,GN,76.6,moderate rain,9.538,-13.6773,Riviera Royal Hotel
411,Buchanan,LR,74.73,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
413,Tuy Hoa,VN,80.46,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
414,Quang Ngai,VN,78.31,overcast clouds,15.1167,108.8,Central Hotel
416,Mayumba,GA,69.3,scattered clouds,-3.432,10.6554,LIKWALE LODGE
417,Pasighat,IN,78.57,overcast clouds,28.0667,95.3333,Siang Guest House
420,Dzilam Gonzalez,MX,81.7,few clouds,21.2833,-88.9333,posadas
421,Oussouye,SN,76.5,overcast clouds,12.485,-16.5469,Auberge du Routard
422,,,,,,,
423,Kapit,MY,85.51,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
424,Belmonte,BR,70.86,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
427,,,,,,,
431,Corinto,GR,76.89,clear sky,37.9407,22.9573,Ephira Hotel
434,Shahrud,IR,70.92,clear sky,36.4182,54.9763,Royal Hotel
435,Griffith,US,82.06,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
436,Kupang,ID,83.95,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
439,Charters Towers,AU,71.49,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
441,Whitefish,US,87.55,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
443,Slave Lake,CA,73.38,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
444,Vilyuysk,RU,70.99,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
445,Zhangjiakou,CN,82.22,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
446,Kirksville,US,80.82,clear sky,40.1948,-92.5833,Budget Host-Village Inn
448,Touros,BR,73.06,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
451,Karangasem,ID,78.1,overcast clouds,-8.45,115.6167,Villa Campuhan
454,Ouesso,CG,69.49,light rain,1.6136,16.0517,ABENIE Hotel
455,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
458,Bay City,US,77.41,overcast clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
459,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
461,Ishigaki,JP,89.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
463,Kendari,ID,80.24,few clouds,-3.945,122.4989,Hotel Wixel
470,Atar,MR,83.23,scattered clouds,20.5169,-13.0499,Oumou Elghoura
471,Hamilton,US,88.65,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
477,San Patricio,US,87.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
478,Itaueira,BR,75.25,few clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
479,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
483,Beibei,CN,83.37,broken clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
484,Miyako,JP,75.25,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
486,,,,,,,
487,Mazamari,PE,73.63,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
