City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Amahai,ID,78.67,overcast clouds,-3.3333,128.9167,Amahai
246,Pio Xii,BR,72.66,broken clouds,-3.8325,-45.1525,Andirobal
247,Georgetown,MY,82.33,few clouds,5.4112,100.3354,George Town
250,The Valley,AI,82.26,clear sky,18.217,-63.0578,The Valley
252,Guerrero Negro,MX,73.06,clear sky,27.9769,-114.0611,Guerrero Negro
253,Axim,GH,72.64,clear sky,4.8699,-2.2405,Axim
255,Maracacume,BR,72.16,few clouds,-2.0428,-45.9592,Maracaçumé
256,Awbari,LY,77.99,clear sky,26.5921,12.7805,Awbari‎
257,Panacan,PH,84.85,overcast clouds,9.2463,118.4082,Narra
258,Olinda,BR,73.13,mist,-8.0089,-34.8553,Recife
259,Massakory,TD,75.9,light rain,12.996,15.7293,Massakory
260,Chabahar,IR,82.49,overcast clouds,25.2919,60.643,Chah Bahar
262,Tottori,JP,78.87,overcast clouds,35.5,134.2333,Tottori
263,Sinnamary,GF,77.31,scattered clouds,5.3833,-52.95,Sinnamary
264,San Policarpo,PH,84.4,light rain,12.1791,125.5072,Oras
265,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,Denpasar
268,Kihei,US,83.97,scattered clouds,20.785,-156.4656,Kihei
272,Santa Barbara,US,82.35,clear sky,34.7333,-120.0343,Upper Ballard Campground
274,Aksu,CN,76.71,clear sky,41.1231,80.2644,Aksu Prefecture
287,Goderich,CA,74.91,clear sky,43.7501,-81.7165,Goderich
293,Uglekamensk,RU,74.25,overcast clouds,43.2172,133.2303,Kazanka
299,Nakhon Phanom,TH,80.28,light rain,17.3333,104.4167,Kusuman
302,Sohag,EG,82.69,clear sky,26.557,31.6948,Sohag
303,Avera,US,81.55,overcast clouds,33.194,-82.5271,Avera
305,Aguimes,ES,74.03,clear sky,27.9054,-15.4461,"Ingenio, Las Palmas"
313,Surt,LY,77.74,clear sky,31.2089,16.5887,Sirte
317,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Boa Vista
319,Lompoc,US,85.78,clear sky,34.6391,-120.4579,Lompoc
321,San-Pedro,CI,74.41,overcast clouds,4.7485,-6.6363,San-Pedro
327,Akyab,MM,83.5,overcast clouds,20.15,92.9,Sittwe
329,Prince George,CA,79.25,clear sky,53.9166,-122.753,Prince George
330,Lodja,CD,75.54,overcast clouds,-3.4833,23.4333,Lodja
332,Hami,CN,72.25,few clouds,42.8,93.45,Hami
334,Lorengau,PG,84.56,heavy intensity rain,-2.0226,147.2712,Lorengau
336,Cabadiangan,PH,85.87,overcast clouds,9.7531,122.4739,Sipalay
340,Paka,MY,81.28,heavy intensity rain,4.6374,103.4368,Kerteh
342,Namatanai,PG,84.22,light rain,-3.6667,152.4333,Namatanai
348,Piacabucu,BR,73.67,overcast clouds,-10.4056,-36.4344,Piaçabuçu
349,Marsh Harbour,BS,82.42,clear sky,26.5412,-77.0636,Marsh Harbour
352,Maumere,ID,81.45,broken clouds,-8.6199,122.2111,Maumere
354,Tongliao,CN,73.63,overcast clouds,43.6125,122.2653,Tongliao
358,Am Timan,TD,72.46,overcast clouds,11.0297,20.2827,Am Timan
359,Cockburn Town,TC,82.26,clear sky,21.4612,-71.1419,Cockburn Town
360,Biltine,TD,81.79,overcast clouds,14.5333,20.9167,Biltine
363,Nicoya,CR,75.15,overcast clouds,10.1483,-85.452,Nicoya
364,Jalu,LY,72.46,clear sky,29.0331,21.5482,Jalu
365,Aquiraz,BR,79.18,broken clouds,-3.9014,-38.3911,Eusébio
367,Port Moresby,PG,81.88,few clouds,-9.4431,147.1797,Port Moresby
370,Kutum,SD,72.82,scattered clouds,14.2,24.6667,Kutum
371,Mareeba,AU,76.48,broken clouds,-17.0,145.4333,Mareeba
373,Bellavista,PE,74.48,overcast clouds,-7.0561,-76.5911,P.t Bellavista Sector 2
374,Poum,NC,78.08,broken clouds,-20.2333,164.0167,Poum
377,Micheweni,TZ,74.07,broken clouds,-4.9667,39.8333,Maziwa Ngombe
