City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
246,Pio Xii,BR,72.66,-3.8325,-45.1525,BACURI DOS QUARESMAS
247,Georgetown,MY,82.33,5.4112,100.3354,Cititel Penang
250,The Valley,AI,82.26,18.217,-63.0578,CeBlue Villas & Beach Resort
252,Guerrero Negro,MX,73.06,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
253,Axim,GH,72.64,4.8699,-2.2405,Axim Beach Resort And Spa
255,Maracacume,BR,72.16,-2.0428,-45.9592,Hotel Ramos
256,Awbari,LY,77.99,26.5921,12.7805,فندق أوباري
257,Panacan,PH,84.85,9.2463,118.4082,Mom's Place Resort
258,Olinda,BR,73.13,-8.0089,-34.8553,Flat Quatro Rodas Olinda
259,,,,,,
260,Chabahar,IR,82.49,25.2919,60.643,هتل گدروشیا
262,Tottori,JP,78.87,35.5,134.2333,Hotel Monarque Tottori
263,Sinnamary,GF,77.31,5.3833,-52.95,ALETHEIA Appartement Sinnamary
264,San Policarpo,PH,84.4,12.1791,125.5072,Agapita M. Nicart
265,Denpasar,ID,78.46,-8.65,115.2167,OYO 3156 Hotel Warta 2
268,Kihei,US,83.97,20.785,-156.4656,Maui Sunset
272,Santa Barbara,US,82.35,34.7333,-120.0343,Upper Ballard Campground
274,Aksu,CN,76.71,41.1231,80.2644,Pudong Holiday Hotel
284,San Felipe,VE,71.47,10.3399,-68.7425,Posada Llovizna Rodríguez
287,Goderich,CA,74.91,43.7501,-81.7165,Harmony Inn
293,,,,,,
299,Nakhon Phanom,TH,80.28,17.3333,104.4167,ป่ายางรีสอร์ท
302,Sohag,EG,82.69,26.557,31.6948,Civil Registry - Sohag 1
303,,,,,,
305,Aguimes,ES,74.03,27.9054,-15.4461,Hotel Villa de Aguimes
313,Surt,LY,77.74,31.2089,16.5887,الهادي ابوشعاله سرت
316,Tandalti,SD,71.92,13.0167,31.8667,منزل : الهادي محمد مساعد
317,Boa Vista,BR,84.18,2.8197,-60.6733,Aipana Plaza Hotel
319,Lompoc,US,85.78,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
321,San-Pedro,CI,74.41,4.7485,-6.6363,Hotel Maria
327,Akyab,MM,83.5,20.15,92.9,Hotel Memory
329,Prince George,CA,79.25,53.9166,-122.753,Canadas Best Value Inn Prince George
330,,,,,,
332,Hami,CN,72.25,42.8,93.45,Laoyutang Resort
334,Lorengau,PG,84.56,-2.0226,147.2712,Lorengau Harbourside Hotel
336,Cabadiangan,PH,85.87,9.7531,122.4739,Kipot
340,Paka,MY,81.28,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
342,Namatanai,PG,84.22,-3.6667,152.4333,Seagulls Inn Namatani
