City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Krabi,TH,8.0726,98.9105,82.06,99,20,0.0,few clouds
80,Souillac,MU,-20.5167,57.5167,66.58,82,75,12.66,light rain
81,Tambopata,PE,-12.7333,-69.1833,72.73,75,0,1.52,clear sky
82,Baruun-Urt,MN,46.6806,113.2792,78.67,42,0,9.19,clear sky
83,Betioky,MG,-23.7167,44.3833,58.87,73,0,6.15,clear sky
84,San Cristobal,VE,7.7669,-72.225,75.38,98,51,3.98,broken clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,87,75,9.22,broken clouds
86,Bogande,BF,12.9714,-0.1436,79.02,70,57,6.08,broken clouds
87,Son La,VN,21.3167,103.9,74.89,92,100,2.84,overcast clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,68.56,98,55,7.0,broken clouds
89,Fatehabad,IN,29.5167,75.45,76.98,98,100,4.25,overcast clouds
90,Naze,JP,28.3667,129.4833,85.12,78,77,17.94,broken clouds
91,Novobirilyussy,RU,56.9514,90.6661,61.61,80,78,5.64,broken clouds
92,Dikson,RU,73.5069,80.5464,38.66,92,100,31.41,light rain
93,Deputatskiy,RU,69.3,139.9,47.35,68,93,16.42,overcast clouds
94,Sitka,US,57.0531,-135.33,55.29,82,100,8.05,light rain
95,Palmer,US,42.1584,-72.3287,83.07,74,0,4.36,clear sky
96,Nizhnyaya Poyma,RU,56.1622,97.1933,70.14,49,21,5.32,few clouds
97,Cherskiy,RU,68.75,161.3,48.0,38,11,18.43,few clouds
98,Namtsy,RU,62.7161,129.6658,80.28,58,99,8.46,light rain
99,Avarua,CK,-21.2078,-159.775,71.65,78,75,16.11,light rain
100,Tuatapere,NZ,-46.1333,167.6833,46.45,79,100,4.72,overcast clouds
101,Lesnoy,RU,57.6198,63.0784,57.6,79,45,9.93,scattered clouds
102,Kondinskoye,RU,59.6481,67.41,61.47,87,96,5.64,light rain
103,Rancho Palos Verdes,US,33.7445,-118.387,86.07,81,20,16.11,few clouds
104,Taoudenni,ML,22.6783,-3.9836,92.34,35,96,18.21,overcast clouds
