City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Noumea,-22.2763,166.4572,79.0,99,100,12.28,NC,2022-07-21 00:38:41
68,Surgut,61.25,73.4167,59.18,82,0,7.0,RU,2022-07-21 00:42:53
69,Hobart,-42.8794,147.3294,47.26,75,20,9.22,AU,2022-07-21 00:42:53
70,Tessalit,20.1986,1.0114,81.7,56,71,17.02,ML,2022-07-21 00:39:30
71,Meulaboh,4.1363,96.1285,77.2,80,100,3.2,ID,2022-07-21 00:42:54
72,Mar Del Plata,-38.0023,-57.5575,57.09,63,0,20.71,AR,2022-07-21 00:42:54
73,Kruisfontein,-34.0033,24.7314,50.88,92,11,6.76,ZA,2022-07-21 00:42:54
74,Kapaa,22.0752,-159.319,85.98,70,20,18.41,US,2022-07-21 00:42:55
75,Norman Wells,65.282,-126.8329,78.84,29,75,4.61,CA,2022-07-21 00:42:20
76,Busselton,-33.65,115.3333,58.05,81,100,14.18,AU,2022-07-21 00:42:55
77,Thanatpin,17.2119,96.3033,78.98,90,100,6.02,MM,2022-07-21 00:42:56
78,Soe,-9.8607,124.284,70.84,76,88,6.22,ID,2022-07-21 00:42:56
79,Zhangjiakou,40.81,114.8794,78.13,48,0,2.42,CN,2022-07-21 00:42:56
80,Souillac,-20.5167,57.5167,68.38,73,75,13.8,MU,2022-07-21 00:42:57
81,Oda,35.1833,132.5,75.97,88,100,8.41,JP,2022-07-21 00:42:57
82,Peniche,39.3558,-9.3811,67.28,91,12,14.41,PT,2022-07-21 00:42:57
83,Diego De Almagro,-26.3667,-70.05,60.57,49,100,1.59,CL,2022-07-21 00:42:58
84,Kapit,2.0167,112.9333,79.86,88,66,1.81,MY,2022-07-21 00:42:58
85,Sloboda,51.1421,40.3021,55.31,96,96,11.07,RU,2022-07-21 00:42:58
86,Komsomolskiy,40.4272,71.7189,75.92,35,0,4.61,UZ,2022-07-21 00:42:59
87,Sao Joao Da Barra,-21.6403,-41.0511,67.59,94,1,7.2,BR,2022-07-21 00:43:59
88,Nikolskoye,59.7035,30.7861,62.78,82,8,7.05,RU,2022-07-21 00:43:59
89,Constitucion,-35.3333,-72.4167,50.86,91,1,6.38,CL,2022-07-21 00:44:00
90,Kaitangata,-46.2817,169.8464,43.27,81,100,8.41,NZ,2022-07-21 00:44:00
91,Ancud,-41.8697,-73.8203,39.22,65,41,9.01,CL,2022-07-21 00:44:00
92,Bredasdorp,-34.5322,20.0403,44.15,90,0,5.75,ZA,2022-07-21 00:44:01
93,Bethel,41.3712,-73.414,85.03,73,0,1.01,US,2022-07-21 00:42:10
94,Kamuli,0.9472,33.1197,59.76,73,17,1.54,UG,2022-07-21 00:44:01
95,Kodiak,57.79,-152.4072,58.51,67,0,4.61,US,2022-07-21 00:44:01
96,Dikson,73.5069,80.5464,38.86,91,100,30.18,RU,2022-07-21 00:44:02
97,Nanortalik,60.1432,-45.2371,49.64,87,28,15.05,GL,2022-07-21 00:44:02
98,Torbay,47.6666,-52.7314,64.58,87,100,18.41,CA,2022-07-21 00:44:02
99,Pisco,-13.7,-76.2167,60.85,77,100,4.61,PE,2022-07-21 00:44:03
100,Sinnamary,5.3833,-52.95,77.31,85,42,5.75,GF,2022-07-21 00:44:03
101,Ushuaia,-54.8,-68.3,29.86,93,75,16.11,AR,2022-07-21 00:44:03
102,Bambous Virieux,-20.3428,57.7575,68.25,73,75,13.8,MU,2022-07-21 00:44:04
103,Paidha,2.4167,30.9855,59.14,89,70,2.82,UG,2022-07-21 00:44:04
104,Leshukonskoye,64.8989,45.7622,59.47,78,11,3.71,RU,2022-07-21 00:44:04
105,Nuevo Progreso,23.1667,-97.95,87.55,78,24,14.25,MX,2022-07-21 00:44:04
106,Shingu,33.7333,135.9833,87.55,51,28,3.65,JP,2022-07-21 00:44:05
107,Gordeyevka,52.9569,31.9703,57.9,68,97,12.91,RU,2022-07-21 00:44:05
108,Birao,10.2849,22.7882,70.97,92,99,3.91,CF,2022-07-21 00:43:37
109,Changji,44.0167,87.3167,72.39,35,0,17.9,CN,2022-07-21 00:44:06
110,Ponta Do Sol,32.6667,-17.1,70.72,80,12,5.64,PT,2022-07-21 00:44:06
111,Taltal,-25.4,-70.4833,57.36,88,100,1.68,CL,2022-07-21 00:44:06
112,Pilar,-9.5972,-35.9567,75.13,95,97,3.83,BR,2022-07-21 00:44:06
113,Poole,50.7167,-2.0,66.11,80,100,1.99,GB,2022-07-21 00:44:07
114,Coquimbo,-29.9533,-71.3436,53.33,87,100,3.44,CL,2022-07-21 00:44:07
115,Guilin,25.2819,110.2864,78.91,86,100,3.38,CN,2022-07-21 00:44:07
116,Esso,55.9333,158.7,79.95,42,4,6.89,RU,2022-07-21 00:44:08
117,Bengkulu,-3.8004,102.2655,77.77,87,18,2.86,ID,2022-07-21 00:44:08
118,Kieta,-6.2167,155.6333,84.4,68,44,4.32,PG,2022-07-21 00:44:09
119,Quesnel,52.9999,-122.5029,81.1,32,100,4.61,CA,2022-07-21 00:44:09
120,Victoria,22.2855,114.1577,90.32,74,14,8.01,HK,2022-07-21 00:39:50
121,Leningradskiy,69.3833,178.4167,33.26,98,100,20.27,RU,2022-07-21 00:44:09
122,San Jeronimo,-11.9472,-75.2829,48.22,72,23,4.79,PE,2022-07-21 00:44:10
123,Tura,25.5198,90.2201,75.29,96,100,4.12,IN,2022-07-21 00:44:10
124,Hilo,19.7297,-155.09,84.27,77,75,8.05,US,2022-07-21 00:41:41
125,Coihaique,-45.5752,-72.0662,33.75,75,100,4.61,CL,2022-07-21 00:44:10
126,Pottsville,40.6857,-76.1955,86.43,87,3,4.7,US,2022-07-21 00:44:11
127,Artvin,41.1667,41.8333,62.42,97,100,2.75,TR,2022-07-21 00:44:11
128,Dhidhdhoo,6.8833,73.1,81.21,73,100,21.99,MV,2022-07-21 00:44:11
129,Abha,18.2164,42.5053,66.02,68,20,9.22,SA,2022-07-21 00:44:12
130,Pevek,69.7008,170.3133,31.75,87,100,15.9,RU,2022-07-21 00:41:05
131,Wlingi,-8.0776,112.3311,74.7,81,59,7.34,ID,2022-07-21 00:44:12
132,Saint George,37.1041,-113.5841,107.64,14,0,18.41,US,2022-07-21 00:41:01
133,Airai,-8.9266,125.4092,65.88,73,59,3.69,TL,2022-07-21 00:44:13
134,Castro,-24.7911,-50.0119,56.32,93,6,4.29,BR,2022-07-21 00:40:52
135,Chokurdakh,70.6333,147.9167,54.37,43,57,8.01,RU,2022-07-21 00:45:13
136,Matagami,49.7502,-77.6328,71.71,83,75,6.91,CA,2022-07-21 00:45:13
137,Mathathane,-22.2687,28.7495,62.33,69,95,4.18,BW,2022-07-21 00:45:14
138,Alice Springs,-23.7,133.8833,51.35,40,18,14.97,AU,2022-07-21 00:45:14
139,Mahenge,-8.6833,36.7167,54.5,91,12,1.43,TZ,2022-07-21 00:45:14
140,Vila Velha,-20.3297,-40.2925,71.55,88,40,9.22,BR,2022-07-21 00:43:32
141,Sebeta,8.9167,38.6167,59.04,95,100,1.92,ET,2022-07-21 00:45:15
142,Tuktoyaktuk,69.4541,-133.0374,51.8,87,100,4.61,CA,2022-07-21 00:45:15
143,Matara,5.9485,80.5353,77.97,87,96,11.99,LK,2022-07-21 00:45:16
144,Moyale,3.5167,39.0584,63.43,69,94,11.61,KE,2022-07-21 00:45:16
145,Rawson,-43.3002,-65.1023,43.47,42,0,27.47,AR,2022-07-21 00:45:16
146,Pula,44.8683,13.8481,73.58,49,0,3.44,HR,2022-07-21 00:45:17
147,Povoa De Varzim,41.3834,-8.7636,70.16,100,0,5.75,PT,2022-07-21 00:45:17
148,Viedma,-40.8135,-62.9967,52.72,62,100,16.42,AR,2022-07-21 00:45:17
149,Mirnyy,62.5353,113.9611,51.24,100,100,4.0,RU,2022-07-21 00:42:31
150,Cockburn Town,21.4612,-71.1419,82.24,81,0,20.96,TC,2022-07-21 00:45:18
151,Hirara,24.8,125.2833,88.07,79,40,9.22,JP,2022-07-21 00:45:18
152,Half Moon Bay,37.4636,-122.4286,86.54,77,100,25.32,US,2022-07-21 00:43:28
153,Nemuro,43.3236,145.575,59.36,88,73,7.02,JP,2022-07-21 00:45:18
154,Muana,-1.5283,-49.2167,76.35,87,50,6.71,BR,2022-07-21 00:45:19
155,Thompson,55.7435,-97.8558,64.56,77,75,6.91,CA,2022-07-21 00:40:57
156,Tobermory,45.2501,-81.6665,68.14,82,12,13.56,CA,2022-07-21 00:44:12
157,Cape Town,-33.9258,18.4232,55.38,78,0,4.61,ZA,2022-07-21 00:41:06
158,Saldanha,-33.0117,17.9442,39.25,69,0,8.05,ZA,2022-07-21 00:42:21
159,Pleasant Point,-44.2667,171.1333,44.28,77,77,4.21,NZ,2022-07-21 00:45:19
160,Bilma,18.6853,12.9164,88.18,36,55,6.62,NE,2022-07-21 00:45:20
161,Mahebourg,-20.4081,57.7,68.29,73,75,13.8,MU,2022-07-21 00:45:20
162,Lake City,30.1897,-82.6393,78.85,73,0,6.91,US,2022-07-21 00:45:20
163,Abu Zabad,12.35,29.25,77.07,73,100,13.96,SD,2022-07-21 00:45:21
164,Khani,41.9563,42.9566,58.57,98,100,1.57,GE,2022-07-21 00:45:21
165,Itarema,-2.9248,-39.9167,76.73,78,44,11.18,BR,2022-07-21 00:45:21
166,Ribeira Grande,38.5167,-28.7,72.82,84,6,2.57,PT,2022-07-21 00:43:12
167,Dunedin,-45.8742,170.5036,45.81,65,100,15.01,NZ,2022-07-21 00:45:22
168,San Patricio,28.017,-97.5169,90.54,65,4,18.48,US,2022-07-21 00:45:22
169,Comodoro Rivadavia,-45.8667,-67.5,40.86,42,0,27.63,AR,2022-07-21 00:43:31
170,Provideniya,64.3833,-173.3,48.36,66,75,15.99,RU,2022-07-21 00:45:23
171,Calama,-22.4667,-68.9333,59.49,8,20,8.05,CL,2022-07-21 00:45:23
172,Salym,60.0625,71.4789,59.83,83,96,4.5,RU,2022-07-21 00:45:23
173,Saint-Joseph,-21.3667,55.6167,66.58,75,19,15.26,RE,2022-07-21 00:45:23
174,Aswan,24.0934,32.907,88.9,25,0,13.8,EG,2022-07-21 00:45:24
175,Tecoanapa,16.5167,-98.75,82.8,79,99,5.75,MX,2022-07-21 00:45:24
176,Sivas,39.7916,37.0019,52.43,93,40,9.22,TR,2022-07-21 00:45:24
177,Nanakuli,21.3906,-158.1547,84.15,61,75,13.8,US,2022-07-21 00:45:25
178,Touros,-5.1989,-35.4608,73.72,90,100,9.62,BR,2022-07-21 00:44:56
179,Kahului,20.8947,-156.47,87.82,42,20,19.57,US,2022-07-21 00:45:25
180,Casa Nova,-9.4167,-41.1333,74.23,69,91,15.75,BR,2022-07-21 00:46:26
181,Khatanga,71.9667,102.5,49.69,58,100,22.3,RU,2022-07-21 00:46:26
182,Faya,18.3851,42.4509,66.31,45,100,5.95,SA,2022-07-21 00:46:26
183,Washington,47.5001,-120.5015,95.58,18,0,9.89,US,2022-07-21 00:46:26
184,Severo-Kurilsk,50.6789,156.125,52.65,97,99,12.93,RU,2022-07-21 00:46:27
185,Natal,-5.795,-35.2094,75.42,94,75,9.22,BR,2022-07-21 00:41:48
186,Grindavik,63.8424,-22.4338,51.75,93,75,11.5,IS,2022-07-21 00:46:27
187,Aksu,41.1231,80.2644,73.56,42,0,16.35,CN,2022-07-21 00:46:27
188,Kawalu,-7.3817,108.2082,73.04,89,84,2.89,ID,2022-07-21 00:46:28
189,Samarai,-10.6167,150.6667,82.67,74,4,12.57,PG,2022-07-21 00:46:24
190,Tala,30.6803,30.9429,70.25,82,0,7.25,EG,2022-07-21 00:46:28
191,Nuuk,64.1835,-51.7216,50.61,87,100,13.8,GL,2022-07-21 00:41:57
192,Kizema,61.113,44.8302,49.84,96,21,2.3,RU,2022-07-21 00:46:29
193,Northam,51.0333,-4.2167,60.39,89,0,12.53,GB,2022-07-21 00:46:30
194,Padang,-0.9492,100.3543,75.25,76,20,1.72,ID,2022-07-21 00:46:30
195,Christchurch,-43.5333,172.6333,43.0,81,100,26.46,NZ,2022-07-21 00:41:42
196,Merauke,-8.4667,140.3333,80.38,77,100,11.63,ID,2022-07-21 00:46:30
197,Valdivia,-39.8142,-73.2459,44.69,94,26,2.17,CL,2022-07-21 00:46:31
198,Tiarei,-17.5333,-149.3333,82.42,73,8,11.45,PF,2022-07-21 00:46:31
199,Doha,25.2867,51.5333,94.98,68,0,10.36,QA,2022-07-21 00:46:31
200,Calamar,10.2511,-74.9146,79.23,86,50,4.88,CO,2022-07-21 00:46:32
201,Kurumkan,54.3,110.3,66.31,65,81,2.89,RU,2022-07-21 00:46:32
202,Port Hardy,50.6996,-127.4199,62.78,72,20,13.8,CA,2022-07-21 00:46:32
203,Newala,-10.9431,39.2787,56.61,96,0,3.2,TZ,2022-07-21 00:46:33
204,Arona,28.0996,-16.681,75.7,34,0,21.85,ES,2022-07-21 00:46:33
205,Vardo,70.3705,31.1107,53.58,94,100,2.3,NO,2022-07-21 00:45:38
206,Juneau,58.3019,-134.4197,53.22,96,100,12.66,US,2022-07-21 00:45:11
207,Aklavik,68.2191,-135.0107,65.97,46,100,10.74,CA,2022-07-21 00:42:13
208,Guerrero Negro,27.9769,-114.0611,76.32,56,9,17.11,MX,2022-07-21 00:43:29
209,Narsaq,60.9167,-46.05,52.02,95,31,3.53,GL,2022-07-21 00:46:34
210,Chokwe,-24.5333,32.9833,63.45,85,10,3.98,MZ,2022-07-21 00:46:34
211,Mahajanga,-15.7167,46.3167,66.22,72,0,5.75,MG,2022-07-21 00:46:34
212,Saint-Francois,46.4154,3.9054,60.24,94,0,2.3,FR,2022-07-21 00:46:35
213,Karratha,-20.7377,116.8463,72.14,46,5,5.01,AU,2022-07-21 00:46:35
214,Cabo San Lucas,22.8909,-109.9124,95.61,66,7,12.91,MX,2022-07-21 00:43:28
215,Ust-Tsilma,65.441,52.1498,59.4,76,100,4.99,RU,2022-07-21 00:46:36
216,Veraval,20.9,70.3667,80.58,87,100,15.88,IN,2022-07-21 00:46:36
217,Bourail,-21.5667,165.4833,80.46,70,96,5.46,NC,2022-07-21 00:46:36
218,Sistranda,63.7256,8.834,53.56,98,100,6.24,NO,2022-07-21 00:46:37
219,Paracatu,-17.2222,-46.8747,63.93,50,0,1.77,BR,2022-07-21 00:46:37
220,Asyut,27.181,31.1837,82.58,34,1,13.38,EG,2022-07-21 00:46:37
221,Bahia Honda,22.9036,-83.1592,81.32,78,6,9.15,CU,2022-07-21 00:46:37
222,Miri,4.4148,114.0089,80.74,89,20,2.3,MY,2022-07-21 00:46:38
223,Ilulissat,69.2167,-51.1,59.02,41,75,14.97,GL,2022-07-21 00:46:38
224,Paita,-5.0892,-81.1144,64.02,81,13,16.62,PE,2022-07-21 00:42:13
225,Hukuntsi,-24.0,21.75,55.96,40,28,6.46,BW,2022-07-21 00:46:39
226,Coihueco,-36.6167,-71.8333,45.34,93,0,6.91,CL,2022-07-21 00:46:39
227,Xingtai,37.0631,114.4942,82.17,55,0,6.15,CN,2022-07-21 00:46:39
228,Kyzyl-Mazhalyk,51.1333,90.6,60.73,45,97,1.92,RU,2022-07-21 00:47:40
229,Lorengau,-2.0226,147.2712,84.18,68,55,5.1,PG,2022-07-21 00:47:40
230,Kununurra,-15.7667,128.7333,80.58,28,6,5.75,AU,2022-07-21 00:47:40
231,Buala,-8.145,159.5921,85.42,66,95,7.87,SB,2022-07-21 00:47:41
232,Kochi,9.9399,76.2602,77.02,90,100,9.69,IN,2022-07-21 00:47:25
233,Kihei,20.785,-156.4656,87.82,42,20,19.57,US,2022-07-21 00:47:41
234,Lazaro Cardenas,17.9583,-102.2,83.21,84,12,3.36,MX,2022-07-21 00:47:42
235,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.0,54,100,6.6,AR,2022-07-21 00:47:42
236,Pauini,-7.7136,-66.9764,73.96,61,5,1.07,BR,2022-07-21 00:47:42
237,Dubti,11.7361,41.0853,81.59,53,100,12.01,ET,2022-07-21 00:47:43
238,Alofi,-19.0595,-169.9187,73.29,83,75,12.66,NU,2022-07-21 00:46:19
239,Hasaki,35.7333,140.8333,86.4,76,100,7.43,JP,2022-07-21 00:47:43
240,Bilibino,68.0546,166.4372,54.72,34,35,8.37,RU,2022-07-21 00:47:43
241,Ken Caryl,39.5773,-105.1169,81.18,58,96,1.99,US,2022-07-21 00:43:56
242,Hvolsvollur,63.7533,-20.2243,48.61,81,85,4.47,IS,2022-07-21 00:47:44
243,Amahai,-3.3333,128.9167,79.05,86,91,9.37,ID,2022-07-21 00:47:44
244,Saskylakh,71.9167,114.0833,51.06,56,53,17.09,RU,2022-07-21 00:47:44
245,Little Current,45.9793,-81.9248,68.05,79,1,15.21,CA,2022-07-21 00:46:46
246,Barda,40.3744,47.1267,73.99,61,0,4.72,AZ,2022-07-21 00:47:45
247,Bonavista,48.6499,-53.1147,59.02,93,100,22.3,CA,2022-07-21 00:44:23
248,Sitka,57.0531,-135.33,55.29,82,100,8.05,US,2022-07-21 00:47:45
249,Ahipara,-35.1667,173.1667,56.73,71,12,21.65,NZ,2022-07-21 00:47:46
250,Bilimbay,56.9689,59.8149,51.12,95,11,6.24,RU,2022-07-21 00:47:46
251,Tagab,34.855,69.6492,79.81,47,0,0.85,AF,2022-07-21 00:47:46
252,Gushikawa,26.3544,127.8686,90.63,70,65,13.87,JP,2022-07-21 00:47:47
253,Keuruu,62.2667,24.7,54.81,79,58,1.97,FI,2022-07-21 00:47:47
254,Asilah,35.465,-6.0348,75.16,73,0,5.88,MA,2022-07-21 00:47:47
255,Yarada,17.65,83.2667,82.72,83,40,3.44,IN,2022-07-21 00:47:47
256,La Massana,42.5667,1.4833,56.32,89,0,0.72,AD,2022-07-21 00:47:48
257,Babocsa,46.0416,17.3433,67.1,45,0,3.04,HU,2022-07-21 00:47:48
258,Rurrenabaque,-14.4413,-67.5278,73.71,72,32,1.3,BO,2022-07-21 00:47:48
259,Champerico,14.3,-91.9167,84.74,77,100,6.69,GT,2022-07-21 00:47:49
260,Saint-Augustin,51.226,-58.6502,55.22,88,100,15.99,CA,2022-07-21 00:47:49
261,Ixtapa,20.7,-105.2,83.79,85,97,2.73,MX,2022-07-21 00:47:49
262,Sucua,-2.4667,-78.1667,66.96,82,100,3.11,EC,2022-07-21 00:47:50
263,Najran,17.4924,44.1277,84.85,51,100,7.83,SA,2022-07-21 00:47:50
264,Luanda,-8.8368,13.2343,66.2,94,20,4.61,AO,2022-07-21 00:43:35
265,Chake Chake,-5.2459,39.7666,73.13,77,10,11.65,TZ,2022-07-21 00:47:50
266,Urumqi,43.801,87.6005,68.95,35,0,17.9,CN,2022-07-21 00:47:51
